show_date, show_city, show_venue, song_num, song
2023-07-08,"Portsmouth","Guildhall",17,"Jack The Ripper"
2023-07-08,"Portsmouth","Guildhall",18,"Sweet And Tender Hooligan"
2023-07-12,"Leeds","Millennium Square",1,"How Soon Is Now?"
2023-07-12,"Leeds","Millennium Square",2,"Suedehead"
2023-07-12,"Leeds","Millennium Square",3,"Stop Me If You Think You've Heard This One Before"
2023-07-12,"Leeds","Millennium Square",4,"Irish Blood, English Heart"
2023-07-12,"Leeds","Millennium Square",5,"Girlfriend In A Coma"
2023-07-12,"Leeds","Millennium Square",6,"I'm Throwing My Arms Around Paris"
2023-07-12,"Leeds","Millennium Square",7,"Notre-Dame"
2023-07-12,"Leeds","Millennium Square",8,"I Wish You Lonely"
2023-07-12,"Leeds","Millennium Square",9,"Sure Enough, The Telephone Rings"
2023-07-12,"Leeds","Millennium Square",10,"The Night Pop Dropped"
2023-07-12,"Leeds","Millennium Square",11,"Half A Person"
2023-07-12,"Leeds","Millennium Square",12,"Our Frank"
2023-07-12,"Leeds","Millennium Square",13,"Everyday Is Like Sunday"
2023-07-12,"Leeds","Millennium Square",14,"Knockabout World"
2023-07-12,"Leeds","Millennium Square",15,"The Loop"
2023-07-12,"Leeds","Millennium Square",16,"Please Please Please, Let Me Get What I Want"
2023-07-12,"Leeds","Millennium Square",17,"Jack The Ripper"
2023-07-12,"Leeds","Millennium Square",18,"Sweet And Tender Hooligan"
2023-07-15,"Dublin","Vicar Street",1,"How Soon Is Now?"
2023-07-15,"Dublin","Vicar Street",2,"Suedehead"
2023-07-15,"Dublin","Vicar Street",3,"Stop Me If You Think You've Heard This One Before"
2023-07-15,"Dublin","Vicar Street",4,"Irish Blood, English Heart"
2023-07-15,"Dublin","Vicar Street",5,"Girlfriend In A Coma"
2023-07-15,"Dublin","Vicar Street",6,"I'm Throwing My Arms Around Paris"
2023-07-15,"Dublin","Vicar Street",7,"Notre-Dame"
2023-07-15,"Dublin","Vicar Street",8,"I Wish You Lonely"
2023-07-15,"Dublin","Vicar Street",9,"Sure Enough, The Telephone Rings"
2023-07-15,"Dublin","Vicar Street",10,"The Night Pop Dropped"
2023-07-15,"Dublin","Vicar Street",11,"My Hurling Days Are Done"
2023-07-15,"Dublin","Vicar Street",12,"Half A Person"
2023-07-15,"Dublin","Vicar Street",13,"Everyday Is Like Sunday"
2023-07-15,"Dublin","Vicar Street",14,"Knockabout World"
2023-07-15,"Dublin","Vicar Street",15,"The Loop"
2023-07-15,"Dublin","Vicar Street",16,"Our Frank"
2023-07-15,"Dublin","Vicar Street",17,"Bonfire Of Teenagers"
2023-07-15,"Dublin","Vicar Street",18,"Jack The Ripper"
2023-07-15,"Dublin","Vicar Street",19,"Sweet And Tender Hooligan"
2023-07-16,"Dublin","Vicar Street",1,"How Soon Is Now?"
2023-07-16,"Dublin","Vicar Street",2,"Suedehead"
2023-07-16,"Dublin","Vicar Street",3,"Stop Me If You Think You've Heard This One Before"
2023-07-16,"Dublin","Vicar Street",4,"I Wish You Lonely"
2023-07-16,"Dublin","Vicar Street",5,"Jim Jim Falls"
2023-07-16,"Dublin","Vicar Street",6,"Girlfriend In A Coma"
2023-07-16,"Dublin","Vicar Street",7,"I'm Throwing My Arms Around Paris"
2023-07-16,"Dublin","Vicar Street",8,"Knockabout World"
2023-07-16,"Dublin","Vicar Street",9,"Sure Enough, The Telephone Rings"
2023-07-16,"Dublin","Vicar Street",10,"Half A Person"
2023-07-16,"Dublin","Vicar Street",11,"My Hurling Days Are Done"
2023-07-16,"Dublin","Vicar Street",12,"Bonfire Of Teenagers"
2023-07-16,"Dublin","Vicar Street",13,"Everyday Is Like Sunday"
2023-07-16,"Dublin","Vicar Street",14,"The Loop"
2023-07-16,"Dublin","Vicar Street",15,"Our Frank"
2023-07-16,"Dublin","Vicar Street",16,"Please, Please, Please, Let Me Get What I Want"
2023-07-16,"Dublin","Vicar Street",17,"Speedway"
2023-07-16,"Dublin","Vicar Street",18,"Irish Blood, English Heart"
2023-07-18,"Liverpool","Empire Theatre",1,"How Soon Is Now?"
2023-07-18,"Liverpool","Empire Theatre",2,"Suedehead"
2023-07-18,"Liverpool","Empire Theatre",3,"Stop Me If You Think You've Heard This One Before"
2023-07-18,"Liverpool","Empire Theatre",4,"I Wish You Lonely"
2023-07-18,"Liverpool","Empire Theatre",5,"Frankly, Mr. Shankly"
2023-07-18,"Liverpool","Empire Theatre",6,"I'm Throwing My Arms Around Paris"
2023-07-18,"Liverpool","Empire Theatre",7,"Girlfriend In A Coma"
2023-07-18,"Liverpool","Empire Theatre",8,"Our Frank"
2023-07-18,"Liverpool","Empire Theatre",9,"Knockabout World"
2023-07-18,"Liverpool","Empire Theatre",10,"Sure Enough, The Telephone Rings"
2023-07-18,"Liverpool","Empire Theatre",11,"Half A Person"
2023-07-18,"Liverpool","Empire Theatre",12,"My Hurling Days Are Done"
2023-07-18,"Liverpool","Empire Theatre",13,"Bonfire Of Teenagers"
2023-07-18,"Liverpool","Empire Theatre",14,"Everyday Is Like Sunday"
2023-07-18,"Liverpool","Empire Theatre",15,"The Loop"
2023-07-18,"Liverpool","Empire Theatre",16,"Please, Please, Please, Let Me Get What I Want"
2023-07-18,"Liverpool","Empire Theatre",17,"Speedway"
2023-07-18,"Liverpool","Empire Theatre",18,"Irish Blood, English Heart"
2023-07-19,"Liverpool","Empire Theatre",1,"Irish Blood, English Heart"
2023-07-19,"Liverpool","Empire Theatre",2,"Suedehead"
2023-07-19,"Liverpool","Empire Theatre",3,"Stop Me If You Think You've Heard This One Before"
2023-07-19,"Liverpool","Empire Theatre",4,"Speedway"
2023-07-19,"Liverpool","Empire Theatre",5,"Jim Jim Falls"
2023-07-19,"Liverpool","Empire Theatre",6,"I Wish You Lonely"
2023-07-19,"Liverpool","Empire Theatre",7,"I'm Throwing My Arms Around Paris"
2023-07-19,"Liverpool","Empire Theatre",8,"Girlfriend In A Coma"
2023-07-19,"Liverpool","Empire Theatre",9,"The Night Pop Dropped"
2023-07-19,"Liverpool","Empire Theatre",10,"Sure Enough, The Telephone Rings"
2023-07-19,"Liverpool","Empire Theatre",11,"Notre-Dame"
2023-07-19,"Liverpool","Empire Theatre",12,"How Soon Is Now?"
2023-07-19,"Liverpool","Empire Theatre",13,"Bonfire Of Teenagers"
2023-07-19,"Liverpool","Empire Theatre",14,"Everyday Is Like Sunday"
2023-07-19,"Liverpool","Empire Theatre",15,"Please, Please, Please, Let Me Get What I Want"
2023-07-19,"Liverpool","Empire Theatre",16,"The Loop"
2023-07-19,"Liverpool","Empire Theatre",17,"My Hurling Days Are Done"
2023-07-19,"Liverpool","Empire Theatre",18,"Jack The Ripper"
